JOURNAL,DATE,GENERAL,AUXILIAIRE,REFERENCE,LIBELLE,DEBIT,CREDIT
ACM,17/10/2024,401000,401LR,977724,Achat MB 977724,,7199.030000000001
ACM,17/10/2024,411000,411MB,977724,Achat MB 977724,,-654.99
ACM,17/10/2024,445660,,977724,Achat MB 977724,741.41,
ACM,17/10/2024,601100,,977724,Achat MB 977724,1794.46,
ACM,17/10/2024,601100,,977724,Achat MB 977724,2902.67,
ACM,17/10/2024,602201,,977724,Achat MB 977724,717,
ACM,17/10/2024,606302,,977724,Achat MB 977724,1585.99,
ACM,17/10/2024,606401,,977724,Achat MB 977724,23.57,
ACM,17/10/2024,623401,,977724,Achat MB 977724,0,
ACM,17/10/2024,602610,,977724,Achat MB 977724,22.46,
ACM,17/10/2024,602612,,977724,Achat MB 977724,66.46,
